,Unnamed: 0,id,song_title,artist,mp3,genre,votes,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
290,248,69Rgsy7NjASkqeJUwEGsv6,It Ain't All Flowers,Sturgill Simpson,https://p.scdn.co/mp3-preview/c5f9cd23cd552b9a47e6e8ec24d76b16a83bf364?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.359,0.612,4,-9.412,1,0.0815,0.0442,0.000716,0.124,0.437,152.841,403760,4
291,249,2mDdkeVuUsyIepwzLCxuu6,Mountain Song,Flatland Cavalry,https://p.scdn.co/mp3-preview/0b9fc4e29c701f950555392ece3b504a4208974e?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.551,0.451,11,-10.683,1,0.03,0.27,0.259,0.117,0.19,91.962,249920,4
292,250,2mV4xg3mvO5aXPLMoD7WrR,You Never Even Called Me by My Name,David Allan Coe,https://p.scdn.co/mp3-preview/ca00b41297590c2983c1cb53895a45ff607319d4?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.634,0.619,7,-7.691,1,0.0368,0.492,0.0,0.179,0.531,105.253,316027,4
293,251,2nATTe1i7aMzIZ8klEpgQ7,Darling,Zach Bryan,https://p.scdn.co/mp3-preview/6d28653a8c6c7e46e95f69f473dcb64118764b72?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.405,0.283,7,-7.218,1,0.0378,0.454,0.0,0.112,0.27,172.746,237819,4
294,252,2p07VcUwRZ5sru3mJ0JogS,Why Don't We Just Dance,Josh Turner,https://p.scdn.co/mp3-preview/1e48a033e189bae450e3b7b6f0048f698ec4ce25?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.834,192800,4
295,252,2p07VcUwRZ5sru3mJ0JogS,Why Don't We Just Dance,Josh Turner,https://p.scdn.co/mp3-preview/1e48a033e189bae450e3b7b6f0048f698ec4ce25?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.834,192800,4
296,78,2p07VcUwRZ5sru3mJ0JogS,Why Don't We Just Dance,Josh Turner,https://p.scdn.co/mp3-preview/1e48a033e189bae450e3b7b6f0048f698ec4ce25?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,country_pop,2.0,0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.834,192800,4
297,78,2p07VcUwRZ5sru3mJ0JogS,Why Don't We Just Dance,Josh Turner,https://p.scdn.co/mp3-preview/1e48a033e189bae450e3b7b6f0048f698ec4ce25?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,country_pop,2.0,0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.834,192800,4
298,253,1vBpwxsLVwaR4evBIaFmqD,Drinkin' Problem,Midland,https://p.scdn.co/mp3-preview/cb134c9e55a342af07cea89e60864d8927e46e78?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.622,0.763,9,-6.4,1,0.0263,0.055,8.91e-06,0.313,0.621,102.0,220800,4
299,254,6BkK5Dsu1kTne7Cn6EyYex,Why Not Me,The Judds,https://p.scdn.co/mp3-preview/41e7a5a305e6f72afd58a7824cf02bb2b9305bb3?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.732,0.667,10,-9.278,1,0.0278,0.502,4.07e-06,0.0524,0.727,125.6,211267,4
300,255,2rg3yLJKN5Yl4JCHHkMgeC,Time Is Love,Josh Turner,https://p.scdn.co/mp3-preview/67a35cb3d2a8e0e8d9793332a584c61165850f86?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,2.0,0.663,0.814,2,-4.987,1,0.0466,0.0653,0.000252,0.0823,0.547,111.97,200373,4
