,class,song_title,artist,id,mfcc0,mfcc1,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc2,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc3,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9
910,bluegrass,Sally Ann,Flatt & Scruggs,72g3qPU2lCZFirkYrpHtaB,-102.14123,114.78185,-3.6899974,8.368976,-10.852681,-0.91357064,-6.3917317,6.997616,-10.435279,2.4958365,-8.425084,-0.503012,-26.091488,-14.345561,-3.6308994,-8.397139,2.232244,-6.055011,3.8645632,-12.223787,-2.3926532,3.00225,-1.8107717,39.519375,-19.227732,-8.108036,1.90721,4.0571685,-0.010247718,2.9218395,-0.035009235,-4.490913,-10.289695,-7.309114,-22.81128,16.43458,-11.425087,10.939946,-10.719929,8.829095
911,bluegrass,40 Miles from Denver,Yonder Mountain String Band,66rH0YhjRwi2JUhjRKWqoT,-103.46696,140.06398,-8.323255,4.6998262,-10.361452,1.8732882,-6.185011,9.15291,-3.7014675,4.2917767,-6.1602592,1.5977511,-13.679059,-4.563605,3.6753523,-3.9398863,-0.6845771,-1.3346063,2.0544717,-2.347634,-1.6125023,-4.772448,-1.2451831,29.479368,-0.30700904,1.7474227,0.8343721,-3.8418422,-1.9794716,2.3013687,0.48843402,-0.88249195,-0.929477,-0.4330775,-8.498792,11.22933,-8.447701,2.5324085,-11.243684,6.55715
912,bluegrass,Half Moon Rising,Yonder Mountain String Band,67bc0k8oAuIprA3X0xzWdQ,-127.68253,121.64422,-18.081375,4.012765,-0.9707427,1.9487354,-1.0813676,10.606338,-5.818937,11.401085,-11.120944,-2.0402398,-8.87768,-3.3077488,1.6608363,-1.1563675,2.6917555,-4.3407755,5.339185,0.5433175,-1.1226652,-2.8937905,-1.3457606,34.710922,1.3878474,6.0564065,0.44968057,-5.178843,-6.91111,-4.2458816,0.14280894,-0.57818013,-4.1171246,-2.119091,-3.3384337,15.561366,-5.411634,6.46901,-15.175349,14.421322
913,bluegrass,She Took the Tennessee River,Special Consensus,657Rif2lGuo3qUYGXds8vM,-62.944527,116.05026,-18.379835,3.8143723,-16.280325,1.2737068,-9.113324,10.00135,-12.7094965,7.0136356,-8.196591,0.71087664,-13.256743,-11.137189,2.5712419,-6.5713463,3.3381186,-6.7270756,-1.1509169,-2.7717986,-1.3305823,-8.026029,-1.9582338,42.51326,2.5218139,6.054845,-0.9528532,-4.960377,-6.1023917,-5.8304634,-6.1972227,-0.43452382,-3.8539155,-5.951047,-8.293787,9.086036,-15.921903,3.8405497,-11.267588,7.987421
914,bluegrass,Run or Die,Greensky Bluegrass,4bb6isJQPtNxO82a1gtHno,-63.986565,129.45529,-10.570403,8.895128,-11.808707,4.2314644,-12.664218,3.8313303,-8.23804,5.0185866,-5.126621,-5.1408086,-18.991243,-12.267993,1.7600504,-3.5811296,-0.0593702,-3.5809462,1.5288825,-6.5951724,-1.2501444,-0.9645109,4.6024632,37.32144,-1.2385726,-2.3025382,-3.9691937,1.8330411,0.5450743,2.7604184,-1.698495,-1.7843664,-4.893317,-5.1421094,-11.370181,11.903927,-14.440282,5.3710446,-14.100379,9.481253
915,bluegrass,Redbird,Cadillac Sky,6ybEb2T8DhIR2K3DpEvpTe,-63.379856,111.49925,-6.439569,14.760443,-5.0934596,2.2980275,-6.931429,9.28279,-6.621392,7.0583987,-2.6642652,5.69849,-11.364985,-1.9665841,8.233749,-4.603224,-3.5448418,-6.8418875,-2.5705328,-1.5966936,1.3618851,0.06706077,1.6417673,42.418247,1.7220404,2.1426547,-4.249784,-6.326802,-6.888842,-0.051618926,-2.654272,-3.6787133,0.46416694,4.2257805,-2.0075324,15.744265,-12.232438,10.774483,-16.387459,14.608223
916,bluegrass,Shallow Grave,The Steeldrivers,13qK2Af7xUBwIVZF57MYM5,-57.120163,120.94746,-10.291346,8.148678,-10.336512,3.256624,-4.0015283,10.781246,-8.219433,8.790605,-5.130377,4.075034,-11.433272,-3.4594228,5.27555,0.27685577,2.0102425,-8.391604,-2.535538,-5.2219596,1.1108443,0.7259268,1.8719494,43.60402,-0.64099026,3.6115465,2.1188755,0.010192705,-5.8560343,-5.7720356,-3.5162585,-4.9135947,-8.127661,-2.1861026,-13.656474,6.8875833,-12.714335,5.8022585,-10.441856,13.708891
917,bluegrass,Know It All,Billy Strings,687SHqnUp3yGfGiuwgE2WG,-62.471657,122.588356,-7.331937,10.417898,-4.503949,6.398229,-11.280951,9.478007,-10.514325,8.075652,-4.867644,2.3158379,-5.3497696,-8.566812,2.4586737,-8.603288,1.6522177,-5.071637,0.039237764,-8.605329,-1.9854058,-2.2334223,7.806119,30.782034,-1.5544016,-3.2409127,-7.348288,-4.980066,-3.5499227,0.01747051,-0.5632132,-3.549084,-8.077872,-4.6375003,-12.341114,12.900249,-14.176995,6.5240073,-11.533942,13.363632
918,bluegrass,Bowling Green,Sam Bush,73eMTJupmeGSxjZOvd8JwJ,-34.539753,105.44821,-15.886163,8.824376,-15.73397,0.9020497,-12.735054,7.411129,-12.234533,6.75151,-9.052675,1.0994992,-15.244631,-7.4944973,2.9039583,-4.323207,2.1230018,-4.5081387,3.5953155,-3.5243888,-2.42928,-3.5147626,3.3747745,43.42197,-4.817499,-1.2713672,-3.99488,0.6363244,-0.3614507,2.7623086,-2.1380947,0.07553783,-4.511695,-1.5507127,-3.2486148,11.531788,-14.070158,8.733365,-14.435119,13.07264
919,bluegrass,Angel Of The Night,The Steeldrivers,5LfDOTMc5zVt3RLvLkme3L,-61.62289,126.74093,-11.327257,2.9503458,-9.663537,4.024891,-6.0967436,10.668548,-8.334001,7.07102,-5.926453,2.618496,-22.035187,-11.012355,-3.8913639,-3.5969353,-4.537219,-9.43513,-0.9272038,-4.4702873,1.2930499,-2.608618,-7.3897786,47.014275,-5.5635233,4.436409,0.6249059,-4.1310315,-6.1283317,-2.8079858,-3.7420504,-4.3012037,0.27599663,-1.4112679,-20.53092,10.546123,-10.972718,7.7201953,-11.096208,13.189683
920,bluegrass,Handguns,Greensky Bluegrass,75gD57cAtoVEvOZC55Qbbd,-119.52757,146.01163,-6.952227,7.2126913,-6.509439,5.516636,-5.713086,7.7840133,-3.596694,2.245679,-0.19142841,1.4890782,-25.729036,-7.241879,6.7490807,-2.8775449,-0.9585864,-8.294682,-4.215856,0.5198607,7.3547287,-4.2146406,-1.002951,38.33289,-1.6960646,0.9639925,0.4866212,0.7170456,-0.8271853,-2.227071,-6.2438145,-4.831194,2.1913617,0.5900192,-4.5833545,14.162445,-4.098838,11.54394,-3.7388198,4.909306
921,bluegrass,Gallows Pole,Willie Watson,5L1BHZ2uApRTpP95yGykjv,-232.1129,143.49478,-7.5391088,6.863211,-11.648862,0.72203076,-8.659386,-8.748075,-8.705021,-1.5879998,-15.744032,-2.659265,-19.801975,1.4505031,-3.04548,-5.990104,-7.903804,-5.0622582,1.0063837,-3.4063754,-2.664001,-3.9188251,-1.2322863,35.954002,0.23080322,-3.9426885,-5.491402,-7.2036815,-4.642155,-4.6407127,0.5786755,-3.6521637,1.6263256,8.455809,2.2588105,18.594933,4.47312,-1.0939492,-5.234,-7.5549293
922,bluegrass,She Left Me Standing On the Mountain,Jim & Jesse,4hloQEApxIXnB66RSrdtXn,-84.22695,93.649155,-12.083926,8.518787,-11.848851,4.7160707,-8.727427,3.9061298,-9.209161,2.8493254,-11.527742,-2.1446223,-26.268183,-6.253284,-1.1429386,-7.936224,2.3690624,-5.258468,-3.950193,-12.517402,-8.027117,-2.560198,-0.36780003,47.503723,-5.36861,-5.7416835,-6.741633,-1.4303261,-0.44110712,-0.20653938,-1.8256005,-3.8290415,-8.65511,-5.6849422,-16.95858,9.172689,-17.89834,-0.9550634,-15.717852,12.349804
